"dog_id","cslb_active_6mo","cslb_avoid","cslb_date","cslb_defecate_6mo","cslb_find_food","cslb_food_6mo","cslb_other_changes","cslb_pace","cslb_pace_6mo","cslb_recognize","cslb_recognize_6mo","cslb_score","cslb_stare","cslb_stare_6mo","cslb_stuck","cslb_walk_walls"
40356,3,1,"2020-11-04",3,2,3,"There was a period of about two months after neutering last year that Drake was a little less friendly to unknown dogs, but he returned to his dominant but cheery attitude.",1,3,1,3,35,1,3,1,1
39845,3,1,"2020-11-04",3,1,3,"None",1,3,1,3,34,1,3,1,1
63876,3,1,"2020-11-28",3,2,3,"She is getting smarter chasing squirrels and rabbits.  A lot more using her nose to track them down.  ",1,3,1,3,35,1,3,1,1
88967,3,1,"2020-11-29",3,1,3,"no changes",1,3,1,3,34,1,3,1,1
81319,3,1,"2020-12-28",4,2,3,"Zoe is refusing to go in the back yard with me if I request it. She will go on her own or following our other dog but is nervous out there with me. I believe this is related to recent baths and her fear of water. ",1,3,2,3,37,1,3,1,1
52623,3,2,"2020-11-25",3,1,3,"None",1,3,2,2,33,1,3,1,1
10041,2,1,"2020-11-04",3,2,3,NA,1,3,1,3,34,1,3,1,1
70923,4,3,"2020-11-15",4,2,4,"Odie used to be a rapid eater, now he eats about half the volume at meal time and will eat the remainder through out the day.",4,4,1,3,47,1,3,2,2
86399,4,1,"2020-11-08",3,2,3,"no",1,3,1,3,36,1,3,1,1
70856,3,2,"2020-11-04",3,2,3,NA,1,3,1,3,40,5,3,1,1
50237,3,3,"2020-12-07",3,2,3,"None",2,3,1,3,40,2,3,2,1
29021,3,1,"2020-11-20",3,1,3,"No, she is on nutrients to help prevent that.  She has lost a lot of her sight, but she knows her home and yard and does not have a problem navigating.  Also, the contractor who rebuilt my home loved my pups so there is a wooden walkway from the House to the barn.  I think Mia uses that and the deck to gauge her location in the yard.  There is also a wooden walk along the back chainlink fence that helps her navigate, these have been here since she has been here.    She is not my first vision-impaired pup.  My Niki was almost blind for the last 3 years of her 16 years.  She loved cats and always adopted one or two.  Her last cat is still with me and provided her with assistance, vision and aggitation.  Never left her side until I can home each day.   ",1,3,1,3,35,1,3,1,2
70901,4,1,"2020-12-12",3,1,3,"Slightly less time spent playing, and more time spent napping",1,3,1,3,37,2,3,2,1
84041,3,2,"2020-11-05",3,1,3,NA,1,3,1,3,35,1,3,1,1
2536,3,1,"2020-11-05",5,3,4,NA,1,3,1,3,41,1,3,2,1
37453,3,1,"2020-11-04",3,2,3,"No, his thinking does not seem to have changed.",1,3,1,3,35,1,3,1,1
60693,3,3,"2020-11-26",3,1,3,NA,1,3,1,3,36,1,3,1,1
47722,3,1,"2020-11-14",4,2,4,NA,3,4,1,3,43,2,4,1,1
60308,4,2,"2020-11-15",3,2,3,"None",2,3,1,3,38,1,3,1,1
92031,3,1,"2020-12-15",3,1,3,"We think he might be loosing his hearing.",1,3,1,3,34,1,3,1,1
71345,3,1,"2020-11-29",3,1,3,"He seeks out more human attention (COVID)",1,3,1,3,34,1,3,1,1
78325,4,3,"2020-11-11",4,1,3,"Difficulty seeing last step in a flight of stairs. ",1,3,1,3,44,3,4,3,2
39653,3,1,"2020-11-13",3,2,3,"No",1,3,1,3,35,1,3,1,1
64956,3,1,"2020-11-12",3,3,3,"He is minding better.  Will come now more consistently when in situations where he doesn't want to come and he wants to do what he wants, but then makes the decision to do what I am asking him to do.  ",1,3,1,3,40,1,3,5,1
2114,4,1,"2020-12-01",3,1,3,"She doesn't eat well at all compared to 6 months ago, but her inflammatory bowel disease has been under poor control, so probably that. ",1,3,1,3,35,1,3,1,1
79521,3,1,"2020-11-04",3,1,3,"no",1,3,1,3,34,1,3,1,1
41712,3,1,"2020-11-04",1,1,1,"Jaxson is still very reactive to the sight of other dogs",1,1,2,2,22,1,1,1,1
15837,3,5,"2020-11-05",3,1,3,"""Lucy has never been a dog that likes being picked up or hugged. She gives """"kisses"""" usually when asked, but doesn't want lots of hugs. That said, when my husband or I am not feeling well, she'll come up on bed or sofa when called. """,1,3,1,3,38,1,3,1,1
31348,3,1,"2020-11-06",3,2,3,"Occasional Separation anxiety has increased.",2,3,1,3,39,2,3,1,3
85682,3,1,"2020-12-05",3,2,3,"Lily is becoming much smarter as she gets a little older.  She is currently going through a phase of trying to get her way when I want her to do one thing and she wants to do something else. ",3,3,1,3,37,1,3,1,1
80554,3,1,"2020-11-05",3,1,3,"No",1,3,1,3,34,1,3,1,1
38840,3,4,"2020-12-31",3,2,3,"""We have been working on his """"Pomeranian"""" shyness about being pet.  He likes people but he is slightly apprehensive about being pet.  He is better about being pet now but it remains a struggle.  (He likes it when I pet him but he doesn't want to be pet too long -- even by me.)""",1,3,1,3,38,1,3,1,1
24211,3,1,"2020-12-04",3,1,3,"Not sure if this is what you're looking for but he sometimes spends much more time during walks sniffing everything in sight. I have to really work to get him moving. It's not every walk, so it could just be something as simple as a female was walking the same path just before we got there, but when he was younger he was alway motivated to keep moving as far and fast as he could. ",1,3,1,3,34,1,3,1,1
69841,3,3,"2020-11-15",3,1,3,"She is more likely to try to wander the neighborhood. She has made a friend of the neighbor's dog behind us and will sit at his fence with him for long periods of time, refusing to come when called until we get close to her. ",1,3,1,3,36,1,3,1,1
12325,3,1,"2020-11-04",3,1,3,"none that i can think of",1,3,1,3,34,1,3,1,1
79000,4,1,"2020-11-15",3,1,3,"He was diagnosed with a tumor in his chest and is on gabapentin for pain control. At night he stands and stares blankly and pants. In the day he is fine, but at night he seems confused.",1,3,1,3,39,4,4,1,1
5796,4,1,"2020-11-05",3,3,3,"About 12 months ago it became more apparent that Wilson was experiencing increased loss of vision especially at night. If he doesn't orient himself using physical cues in our bedroom (such as walking to a rug in the hallway and turning himself around) he has attempted to jump on our bed in the dark and been completely parallel to it/lands on the floor. He generally does use the physical cues but probably once a month he appears to forget and doesn't make it onto the bed. This does not happen when lights are on so it's unclear if it's vision or cognitive or both. ",2,3,1,3,39,1,3,1,2
73685,3,2,"2020-11-07",3,1,3,"She seems more inquisitive and interested in what others are doing. ",5,3,1,3,43,4,3,1,2
11030,3,2,"2020-11-24",3,2,3,"Been using cbd drops for couple of months and actually seeing improvements in eyesight and movement.",1,3,1,3,36,1,3,1,1
46699,3,1,"2020-12-08",1,1,1,"not really.",1,1,1,1,18,1,1,1,1
26552,3,1,"2020-12-12",3,2,3,"No",1,3,1,3,35,1,3,1,1
24186,3,1,"2020-11-04",3,1,3,NA,1,3,1,3,34,1,3,1,1
29258,4,1,"2020-11-05",3,2,3,"Luna went blind about 18 months ago. I believe her struggles or behaviors are not based on cognitive issues but are due to her lack of eyesight. ",2,3,1,3,47,4,3,4,5
530,3,1,"2020-12-11",3,1,3,NA,1,3,1,3,34,1,3,1,1
62548,4,1,"2020-11-04",3,3,4,"Less barking at or even noticing people coming to the house (mailman, delivery drivers, familiar visitors).",1,3,1,3,40,1,3,2,1
7009,3,4,"2020-12-22",3,2,3,NA,2,3,1,3,39,1,3,1,1
69243,4,1,"2020-11-06",3,3,4,"She quit using the stairs to get up on the couch and the bed.   I think she can't see them well when getting down.  ",3,3,1,3,42,1,3,1,2
88283,3,1,"2020-11-26",3,1,3,"No c hange",1,3,1,3,34,1,3,1,1
51442,3,1,"2020-12-02",3,2,3,"No",2,3,1,3,36,1,3,1,1
52854,2,4,"2020-12-11",3,1,3,NA,1,3,1,3,36,1,3,1,1
5548,3,1,"2020-11-14",3,1,3,NA,1,3,1,3,34,1,3,1,1
87607,3,4,"2020-12-03",3,1,3,"Not yet - she's still sharp as a tack and the most intellectual dog I've ever known!",3,4,1,3,40,1,3,1,1
71860,5,2,"2020-11-17",3,1,3,"Has become less active - tests show might have very early Addison's but still learning more. ",2,2,1,3,37,1,3,1,1
73557,3,1,"2020-11-05",3,1,3,NA,1,3,1,3,34,1,3,1,1
5838,5,1,"2020-11-09",3,1,3,"none. i think changes in Mira's behavior are due to her mobility and digestive issues",5,5,1,3,47,5,4,1,1
7243,3,1,"2020-12-29",4,3,3,"He is more anxious.",3,3,1,3,43,3,3,2,2
28631,3,1,"2020-11-06",3,1,3,NA,1,3,1,3,34,1,3,1,1
53933,3,1,"2020-11-06",3,1,3,"No",1,3,1,3,34,1,3,1,1
64276,4,2,"2020-11-13",3,2,4,"She is just as intelligent and quick as ever",1,3,1,3,39,1,3,1,1
87004,4,1,"2020-12-12",3,2,3,NA,5,3,1,3,40,1,3,1,1
52644,4,1,"2020-11-16",3,1,3,"She doesn't always want to go on a walk which is completely out of character for her.  She gets tired more easily. ",1,3,1,3,35,1,3,1,1
49429,3,1,"2020-11-15",3,2,3,"No.",1,3,1,3,42,2,3,3,5
79744,3,1,"2020-11-05",3,1,3,"she wants to please very badly and if she thinks her agility performance at a trial was not good she gets very depressed,   If she thinks she did well she struts back to her kennel wagging her tail dancing.  The key is to not show signs that she made mistake .  ",1,3,1,3,34,1,3,1,1
88471,3,1,"2020-12-14",1,1,1,"None",4,3,1,1,29,4,3,1,2
76252,3,1,"2020-11-15",3,1,3,"Olive seems to have developed some apprehension to participate in training.",1,3,1,3,34,1,3,1,1
62462,5,1,"2020-11-27",3,1,3,"Much less activity due to hip injury. ",4,3,1,3,42,4,3,1,1
27632,3,1,"2020-11-15",3,1,3,NA,1,3,1,3,34,1,3,1,1
89047,3,2,"2020-12-18",3,1,3,"No",1,3,1,3,35,1,3,1,1
61935,2,1,"2020-12-05",3,1,3,NA,1,3,1,3,33,1,3,1,1
19173,4,1,"2020-11-05",3,1,3,"Slight change in her eating habits.  No longer goes for food immediately as it is put down, sometimes she will only eat if she is hungry.  she is self regulating when it comes to food",1,3,1,3,35,1,3,1,1
63414,4,3,"2020-12-07",3,1,3,"Lately, she is reluctant to go for a walk in the morning (dark) hours. Some walks are interrupted because Zinni wants to return quickly.",1,3,1,3,37,1,3,1,1
21256,4,1,"2020-11-04",3,2,4,"When ther eis another dog on the street (one we don't know) he sometimes doesn't realize there is another dog near him till they sniff him or he sees it. He used to sense another dog was near sooner. My dog still likes his toys but doesn't play with them much anymore ",2,3,1,3,40,2,3,1,1
32832,3,1,"2020-12-16",3,1,3,"No",1,3,1,3,34,1,3,1,1
16971,4,5,"2020-12-10",3,3,2,NA,3,3,2,2,39,1,3,1,1
44173,3,1,"2020-11-05",3,1,3,NA,1,3,1,3,34,1,3,1,1
85523,3,1,"2020-11-24",1,1,3,NA,3,2,1,3,35,3,3,1,1
82697,4,1,"2020-12-13",3,2,3,NA,3,3,1,3,41,4,3,1,1
83385,3,1,"2020-11-25",3,1,3,"No. Oscar is very mentally sharp and although he is a bit older, he still has energy like he did when he was a puppy.",1,3,1,3,34,1,3,1,1
5652,1,1,"2020-11-23",3,3,3,"We got a puppy, so that has made Ruby much more active. She has also lost some weight (after putting on puppy weight) and I think that is helping her too",1,3,1,3,34,1,3,1,1
20777,4,1,"2020-12-06",3,2,4,"None. Cooper has always been a 'thinker' who will stare at the wall. ",1,3,1,3,42,5,3,1,1
24949,4,3,"2020-11-09",3,1,3,"no",1,3,1,3,37,1,3,1,1
29284,3,1,"2020-11-05",3,1,3,"She seems a bit more calm, now that she's less of a puppy.  For the first year at least she had two modes: frenetic and somnolent.  Now that she's an adult she tends to be just active and alert when she's not snoozing.  She only gets over excited now when a new person enters the house, which isn't happening much these days.  She still wants to insist on playing sometimes, but if I ignore her, she calms down.",1,3,1,3,34,1,3,1,1
43961,5,3,"2020-12-07",5,1,3,"""Although the pacing is seldom, there was an entire week recently when she paced the room every evening.  It stopped as suddenly as it started.  Her startle reaction is heightened, but it's not often because her hearing is now impaired a bit.  I startle her at times if she doesn't hear or see me coming.  She is much less apt to come to me for her eye drops (not painful) or anything else.  It's as though she's saying, """"Hey, I'm old.  I'll do what I want.""""  (I don't blame her a bit.)""",2,3,1,3,41,1,3,1,1
50706,3,1,"2020-11-30",3,1,3,"Charlie is a certified service dog but over the past year has made the adjustment to staying home more like a pet based on my own change of circumstance and a move. He has adjusted well to staying home with a six year old female Haveshon and is happy. But, he can step up to his service training in an instant as required which never ceases to amaze me given that there is not a continual reinforcement of his commands nor practice. He has overcome his early separation anxiety behaviors in the past two years. However, given the choice he remains close to a human, myself or my wife when we are at home or when he is out with us. He is well-adjusted and a delight for everyone who meets him. He exhibits natural propensity to be a therapy dog too. (Hope this helps)",1,3,1,3,34,1,3,1,1
16186,3,3,"2020-11-10",3,2,3,NA,1,3,1,3,37,1,3,1,1
40702,3,1,"2020-11-05",3,1,3,NA,1,3,1,3,34,1,3,1,1
4013,3,1,"2020-11-11",3,1,3,NA,1,3,1,3,34,1,3,1,1
64274,2,1,"2020-11-16",3,1,3,"None. ",1,3,1,3,33,1,3,1,1
60796,3,1,"2020-11-15",3,1,3,"No changes",1,3,1,3,34,1,3,1,1
41049,2,1,"2020-11-08",3,1,3,NA,1,3,1,3,33,1,3,1,1
39439,4,1,"2020-12-30",3,1,3,"This is hard to gauge since we have been home full time with Meribel due to the Pandemic. She still loves her walks and is very playful but is also sleeping more than she used to",1,3,1,3,36,1,3,2,1
78207,5,1,"2020-11-07",3,1,3,"No.",1,3,1,3,36,1,3,1,1
73365,3,1,"2020-11-04",3,1,3,"No",1,3,1,3,34,1,3,1,1
12559,2,3,"2020-11-05",3,2,3,"He has learned to whine more for human food.",2,3,1,3,37,1,3,1,1
1657,5,1,"2020-11-28",3,2,3,"He seems a bit more depressed- he lays around more and makes noises like he's bored.  I think it's pandemic-related b/c we don't get him out as much.",1,3,1,3,37,1,3,1,1
73302,3,1,"2020-11-05",3,1,3,"None",1,3,1,3,34,1,3,1,1
58438,2,1,"2020-12-04",3,1,3,"He had a TPLO surgery in April 2020, so 6 months he was still recovering physically (hence why his activity is slightly more now than it was 6 months ago). This isn't related to his thinking or processing ability, instead physical recovery.",3,3,1,3,35,1,3,1,1
732,4,2,"2020-11-30",3,1,3,"He seems to vocalize during dreaming more now.",1,3,1,3,36,1,3,1,1
24337,4,1,"2020-12-05",3,2,3,"Not really.  I think she's just as bored/stir crazy as the rest of us due to COVID.  And she only walks into doors or walls occasionally when walking before looking! ",4,3,1,3,40,1,3,1,2
72293,4,1,"2020-11-11",3,1,3,NA,1,3,1,3,35,1,3,1,1
82526,3,2,"2020-11-30",3,3,3,"no",1,3,1,3,37,1,3,1,1
51053,4,1,"2020-11-04",3,1,3,"No. No noticeable changes.",1,3,1,3,35,1,3,1,1
67613,1,4,"2020-11-05",3,1,3,"Our older dog died six months ago, and Penny showed signs of grieving.  We now have a new puppy, who is keeping her on her toes.  She is getting lots more play exercise.",1,3,1,3,35,1,3,1,1
87541,3,1,"2020-12-02",3,1,3,"No",1,3,1,3,34,1,3,1,1
17258,3,2,"2020-11-19",3,1,3,"no changes",1,3,2,3,38,2,3,1,2
13061,4,1,"2020-11-04",3,1,3,"She has always been especially  fearful of loud or strange noises, fireworks being the worst and this last 4th of July her fearfulness lasted much longer than in previous years  (it took her a few weeks to be comfortable going outside as nightfall approached.    We live in an area where almost unlimited fireworks are allowed, so it pretty intense.",1,3,1,3,35,1,3,1,1
62289,4,1,"2020-12-07",3,1,3,NA,1,3,1,3,35,1,3,1,1
13629,4,1,"2020-11-05",3,1,3,"No",1,3,1,3,35,1,3,1,1
78635,3,1,"2020-11-05",3,1,3,"Sirius occasionally barks (once) in the middle of the night.  there doesn't seem to be a reason.  it isn't often, perhaps once every couple weeks.",1,3,1,3,34,1,3,1,1
44227,3,1,"2020-11-07",1,1,1,"None",1,1,1,1,18,1,1,1,1
33589,3,1,"2020-11-04",3,2,3,NA,1,3,1,3,35,1,3,1,1
59938,3,1,"2020-11-05",3,2,3,"He is very aggressive with his father, who, in turn is aggressive with him. But this is due to an intact female coming into heat at the same time his dad had major surgery and due to hormones and pack standing, we are pretty sure",1,3,3,3,37,1,3,1,1
2732,3,1,"2020-11-07",3,1,3,NA,1,3,1,3,34,1,3,1,1
35924,3,1,"2020-11-24",3,1,3,"No",1,3,1,3,34,1,3,1,1
31340,3,4,"2020-11-16",3,1,3,NA,3,3,1,3,40,2,3,1,1
61554,3,1,"2020-11-05",3,1,3,"no changes.  :-)",1,3,1,3,34,1,3,1,1
58086,3,1,"2020-11-05",3,1,3,"No",1,3,1,3,34,1,3,1,1
54785,3,2,"2020-11-14",3,1,3,"Cecelia is maturing and becoming calmer as she grows Ito adult hood",1,3,1,3,35,1,3,1,1
56657,3,1,"2020-12-11",3,1,3,NA,1,3,1,3,34,1,3,1,1
74828,4,1,"2020-11-17",3,2,4,"Sadie has always loved food/treats, but she seems more obsessed with food now. She grabs for offered treats rather than taking them gently.",5,4,1,3,53,5,5,5,1
54906,3,1,"2020-11-10",3,1,3,"no",1,3,1,3,34,1,3,1,1
13028,4,2,"2020-11-04",3,3,3,"Ernie is an old soul that loves to lounge around. He is constantly thinking though and is very responsive. He also hates getting out of his bed in the morning. ",1,3,3,3,40,1,3,1,1
90315,4,1,"2020-11-27",4,2,3,"flinching - as if seeing something in front of his eyes - shadows of hair or floaters?",4,4,1,3,41,1,3,1,1
10265,3,1,"2020-12-11",3,1,3,NA,1,3,1,3,34,1,3,1,1
63430,3,1,"2020-12-05",3,1,3,"The only change has been that he stopped urinating and defecating in the house in the last 6 months. He was neutered and we put up a privacy fence which both helped with his indoor elimination issues. ",1,3,1,3,34,1,3,1,1
28926,3,1,"2020-11-27",3,1,3,NA,1,3,1,3,34,1,3,1,1
89084,3,3,"2020-11-25",3,3,3,"no",2,3,1,3,40,2,3,1,1
52706,3,1,"2020-11-06",3,1,3,"Due to covid my shift at work has changed. I was working straight days m-f but over 4 months I have been working 4 shifts varying 8-14 hours, then off 3 days in a row. Marnie had a difficult time adjusting.  She became much more needy as in attention and snuggling. She appeared confused as each shift differs in time leaving and returning. After about 4 weeks Marnie appeared to understand her new schedule. She currently eats breakfast and supper at different times each day but she remembers the meal hours before covid and still attempts to alert me at the pre covid time. Some days she can still hold her urine a long shift and other days she will urinate on the concrete basement floor. She has done this a few times while I am home and able to let her out.",1,3,1,3,34,1,3,1,1
18076,3,1,"2020-12-18",3,1,3,"None",1,3,1,3,34,1,3,1,1
24417,3,1,"2020-11-05",3,1,3,"No changes observed",1,3,1,3,34,1,3,1,1
32666,2,1,"2020-11-06",4,1,1,"chewing things up more if left alone",1,1,1,1,20,1,1,1,1
66007,2,1,"2020-11-24",3,2,3,NA,1,3,1,3,34,1,3,1,1
22885,3,1,"2020-11-18",3,1,3,"None.",1,3,1,3,34,1,3,1,1
2526,3,1,"2020-12-04",3,1,3,"Not really. He hates us leaving, barks crazily but settles down after car is gone. Also barks and jumps to window at outside people/noises- this hasn't changed",1,3,1,3,34,1,3,1,1
8587,4,1,"2020-11-15",3,1,3,NA,1,3,1,3,36,2,3,1,1
50219,3,1,"2020-11-05",3,2,3,"His thought processing is better",1,3,1,3,35,1,3,1,1
32188,2,1,"2020-11-06",3,2,3,NA,1,3,1,3,34,1,3,1,1
88934,4,1,"2020-12-02",3,2,3,"Near vision has deteriorated somewhat  (presbyopia?). ",1,3,1,3,36,1,3,1,1
44127,2,1,"2020-11-04",3,1,3,"Nothing ",1,3,1,3,33,1,3,1,1
46085,3,1,"2020-11-04",1,2,1,NA,1,1,1,1,19,1,1,1,1
53415,3,1,"2020-11-06",3,2,3,"Sleeps more and deeper sleep.  Takes louder or more motion to wake him up.",1,3,1,3,35,1,3,1,1
70651,3,1,"2020-11-05",3,1,3,"no",1,3,1,3,34,1,3,1,1
53921,3,1,"2020-11-15",1,2,3,"No",3,3,2,3,37,2,3,1,1
85946,3,1,"2020-12-10",3,1,3,"In order to get attention, Buster will whine at the alpha person for petting time or to sit in his lap.  I can call him over and that does stop the whining.",1,3,1,3,34,1,3,1,1
40729,3,1,"2020-11-04",3,1,3,"No changes.",1,3,1,3,34,1,3,1,1
61520,4,1,"2020-11-04",3,1,3,"No changes.. still has mind of her own, i.e. stubborn at times.",1,3,1,3,35,1,3,1,1
23124,2,1,"2020-11-06",3,1,3,NA,2,3,1,3,34,1,3,1,1
70490,4,1,"2020-11-05",3,1,3,"His intelligence has grown as he has aged",1,3,1,3,39,4,3,2,1
15361,4,1,"2020-11-08",3,1,3,"Miles will sometimes just decide to ignore me if I'm asking him to do something he doesn't want to do that he didn't used to (like if I'm letting the other dog outside, he had been jumping up too but now he sometimes just wants to stay on the couch).",5,3,1,3,40,1,3,1,2
19767,3,1,"2020-11-04",3,1,3,"Irene was a rescue and has been with us just over one year.  She exhibited some fairly serious separation anxiety manifested by chewing household items to destruction when left for more than about thirty minutes.  Over the last year, with time and understanding this problem has been resolved.  ",1,3,1,3,34,1,3,1,1
72961,4,1,"2020-11-16",3,1,3,"Exhibiting some signs of separation anxiety when left with the same person he's always been left with.",1,3,1,3,35,1,3,1,1
18526,4,1,"2020-11-04",3,2,3,"no, nothing new.",1,3,2,3,38,2,3,1,1
79355,2,1,"2020-11-28",3,2,3,"I have not observed any changes in this area yet.",1,3,1,3,34,1,3,1,1
85033,3,1,"2020-11-15",3,1,3,NA,1,3,1,3,34,1,3,1,1
62629,3,1,"2020-11-08",3,2,3,"No",1,3,1,3,35,1,3,1,1
67964,3,4,"2020-11-04",3,2,3,"""Parker barks more at people/dogs/cars since we stopped socializing with other dogs and their owners (due to COVID.). Parker has always been very friendly with strange dogs and people so I had to leash him on our off-leash walks when social distancing was recommended.  I can now usually keep him from greeting everyone and from chasing bicycles by giving him the """"Stay Close"""" command.  But I have noticed that he barks more when he sees people, dogs, cars, bicycles - even if they are far away.  It's actually been helpful on walks because he warns me that someone is coming so I can put on my mask.  """,1,3,1,3,38,1,3,1,1
21245,3,1,"2020-11-15",3,1,3,"None",1,3,1,3,34,1,3,1,1
56108,3,1,"2020-11-09",3,1,3,"None ",1,3,1,3,34,1,3,1,1
58307,3,4,"2020-11-06",3,1,3,"Since we've all be quarantined and are home all day, my dog will sometimes go into another room to sleep in the evenings.  This happens multiple times per week and I think it's because we are around her much more and she wants her alone time.",1,3,2,3,38,1,3,1,1
81180,4,3,"2020-12-21",3,1,3,NA,2,3,1,3,38,1,3,1,1
68264,4,4,"2020-11-10",4,1,3,NA,1,3,1,3,40,2,3,1,1
6188,3,2,"2020-11-16",3,1,3,NA,1,3,1,3,37,3,3,1,1
11634,2,3,"2020-11-29",3,1,3,NA,3,3,1,3,37,1,3,1,1
15411,3,1,"2020-12-05",3,1,3,"No",1,3,1,3,34,1,3,1,1
37819,2,1,"2020-11-04",3,1,3,"none she is as spry as she has always been ",1,3,1,3,33,1,3,1,1
90008,4,1,"2020-12-26",1,1,1,"He is a little slower, 10-1/2 years old.  Just slower because of age",1,1,1,1,19,1,1,1,1
26064,3,2,"2020-12-02",3,2,3,"None. Still fairly cognitively capable.",1,3,1,3,36,1,3,1,1
14646,1,3,"2020-11-05",3,2,3,NA,4,4,1,3,39,1,3,1,1
45676,2,1,"2020-11-15",3,1,3,"I believe she is losing her hearing.",1,3,1,3,33,1,3,1,1
80906,3,1,"2020-11-05",1,1,1,"No changes",1,1,1,1,23,4,3,1,1
32721,3,1,"2020-11-05",3,1,3,"Barking more at noises outdoors and when doorbell rings.",1,3,1,3,34,1,3,1,1
39977,3,1,"2020-12-02",3,1,3,"We call Watson our scaredy cat. He's afraid of thunder, the wind, fireworks, and other dogs. It seems to be getting worse as he ages. Houston recently had 2 days of rain and wind; Watson whimpered the whole time. When we walk Watson (and Holmes, our pit bull mix) and we see someone else walking their dog, Holmes ignores the other dog but Watson gets scared, barks at the other dog, and refuses to walk until the other dog is out of sight. The next door neighbor has a pit bull and 2 large mixed breeds. When Watson is in our back yard he will often start wailing as if he's afraid those 3 dogs are going to come though the fence (it's a sturdy wooden fence).  ",1,3,1,3,34,1,3,1,1
84755,3,1,"2020-11-05",3,1,3,"She is not 6 months old yet. She is 5 months and 9 days. ",1,3,1,3,34,1,3,1,1
46075,3,1,"2020-11-15",3,1,3,"No",1,3,1,3,34,1,3,1,1
51842,3,1,"2020-11-13",3,2,3,"A dog that Gypsy was obsessed with passed away and she showed anxiety and depression in not ever seeing that dog anymore on walks and she tended to act more aimless on walks.  She has recently found a new pair of dogs to obsessively track down on walks.  When Gypsy saw/smelled the deceased dog's owner on a walk (without the deceased dog), Gypsy got very excited and ran to her and then sniffed her, but was clearly disappointed not to find the dog.  Gypsy was obsessed with this dog ever since it barked meanly at her while on a walk and she clearly held a grudge.",1,3,1,3,36,1,3,2,1
65818,5,4,"2020-11-14",3,1,3,"Dewey is sleeping much more than six months or a year ago. He also is urinating inside the house once or twice a week now, something he's rarely done in all the years I've owned him.   He appears to be completely deaf now so he is very attentive about watching people's faces and he seldom wanders off, much more attached. He's never been particularly affectionate so I don't see much difference in this respect.  ",1,3,1,3,39,1,3,1,1
47494,1,1,"2020-11-20",1,1,3,"Sylvie is very outgoing and friendly to people and other dogs, but she is not as outwardly affectionate to some random strangers. She does not display any fear or aggression, but she seems indifferent toward some people who approach her. She is now approximately 18 months old.",1,3,1,3,30,1,3,1,1
59238,3,2,"2020-12-07",3,3,3,"No",4,3,1,3,47,5,3,4,1
13818,3,1,"2020-11-23",3,1,3,"Her sleeping patterns during the day, because my husband is always home, seems rather distant...like she doesn't realize I'm home. And she always slept with him during the day...",1,3,1,3,35,2,3,1,1
17853,3,1,"2020-11-04",3,1,3,"None",5,3,1,3,40,3,3,1,1
40879,3,1,"2020-11-29",3,1,3,NA,1,3,1,3,34,1,3,1,1
