"dog_id","hs_condition","hs_condition_cause_other_description","hs_condition_is_congenital","hs_condition_other_description","hs_condition_type","hs_diagnosis_month","hs_diagnosis_year","hs_eye_condition_cause","hs_follow_up_ongoing","hs_neurological_condition_vestibular_disease_type","hs_required_surgery_or_hospitalization"
29702,411,NA,"False",NA,4,1,2015,NA,"False",NA,4
29702,426,NA,"False",NA,4,1,2011,NA,"False",NA,4
29702,598,NA,"False","heart murmur",5,1,2018,NA,"True",NA,4
29702,710,NA,"False",NA,7,1,2015,NA,"False",NA,2
29702,803,NA,"False",NA,8,1,2018,NA,"True",NA,4
29702,1106,NA,"False",NA,11,10,2020,NA,"True",NA,4
29702,1407,NA,"False",NA,14,10,2020,NA,"True",NA,4
29084,1113,NA,"False",NA,11,5,2018,NA,"False",NA,4
29084,1706,NA,"False",NA,17,6,2015,NA,"False",NA,4
29084,1709,NA,"False",NA,17,6,2015,NA,"False",NA,4
29084,1801,NA,"False",NA,18,5,2016,NA,"False",NA,3
40356,1627,NA,"False",NA,16,2,2020,NA,"True",NA,4
40356,1701,NA,"False",NA,17,12,2019,NA,"False",NA,4
40356,1817,NA,"False",NA,18,4,2020,NA,"False",NA,4
39845,305,NA,"False",NA,3,2,2020,NA,"False",NA,1
39845,407,NA,"False",NA,4,7,2020,NA,"False",NA,4
63876,1619,NA,"False",NA,16,11,2019,NA,"True",NA,4
88967,1709,NA,"False",NA,17,6,2019,NA,"False",NA,4
81319,412,NA,"False",NA,4,7,2020,NA,"False",NA,4
52623,310,NA,"False",NA,3,7,2009,NA,"False",NA,4
52623,1622,NA,"False",NA,16,4,2008,NA,"False",NA,4
64510,1617,NA,"False",NA,16,5,2019,NA,"False",NA,4
70923,298,NA,"False","Sinusitis",2,4,2010,NA,"True",NA,3
70923,304,NA,"False",NA,3,3,2020,NA,"True",NA,3
70923,305,NA,"False",NA,3,3,2018,NA,"True",NA,3
70923,307,NA,"False",NA,3,3,2018,NA,"True",NA,3
70923,313,NA,"False",NA,3,2,2004,NA,"False",NA,4
70923,712,NA,"False",NA,7,4,2015,NA,"True",NA,4
70923,1113,NA,"False",NA,11,2,2013,NA,"True",NA,4
70923,1801,NA,"False",NA,18,6,2015,NA,"False",NA,4
70923,1816,NA,"False",NA,18,10,2014,NA,"False",NA,4
70923,1817,NA,"False",NA,18,4,2009,NA,"False",NA,3
70923,1898,NA,"False","Sinus abscess",18,2,2010,NA,"False",NA,3
86399,428,NA,"False",NA,4,5,2020,NA,"False",NA,4
82346,1198,NA,"True","left rear leg joint - unexplained intermittent skipping",11,2,2011,NA,"False",NA,4
82346,304,NA,"False",NA,3,4,2017,NA,"True",NA,1
82346,305,NA,"False",NA,3,4,2017,NA,"False",NA,1
82346,306,NA,"False",NA,3,7,2019,NA,"False",NA,1
82346,408,NA,"False",NA,4,3,2016,NA,"False",NA,4
82346,1637,NA,"False",NA,16,2,2010,NA,"False",NA,3
2993,304,NA,"False",NA,3,2,2020,NA,"True",NA,1
2993,305,NA,"False",NA,3,2,2020,NA,"True",NA,1
2993,307,NA,"False",NA,3,2,2020,NA,"True",NA,1
2993,712,NA,"False",NA,7,8,2020,NA,"True",NA,4
70856,107,NA,"False",NA,1,3,2009,NA,"False",NA,3
70856,304,NA,"False",NA,3,9,2017,NA,"False",NA,4
70856,305,NA,"False",NA,3,9,2017,NA,"False",NA,4
70856,504,NA,"False",NA,5,10,2018,NA,"True",NA,4
70856,1117,NA,"False",NA,11,11,2015,NA,"False",NA,3
70856,1617,NA,"False",NA,16,3,2020,NA,"False",NA,4
79832,305,NA,"False",NA,3,1,2018,NA,"True",NA,1
79832,1705,NA,"False","Marijuana",17,6,2017,NA,"False",NA,2
29021,101,NA,"False",NA,1,1,2019,5,"True",NA,4
29021,102,NA,"False",NA,1,1,2018,NA,"True",NA,4
29021,1113,NA,"False",NA,11,11,2015,NA,"True",NA,4
70901,304,NA,"False",NA,3,6,2020,NA,"False",NA,1
70901,306,NA,"False",NA,3,6,2020,NA,"False",NA,1
70901,714,NA,"False",NA,7,5,2018,NA,"False",NA,4
70901,1812,NA,"False",NA,18,5,2019,NA,"False",NA,4
84041,108,NA,"False",NA,1,3,2013,NA,"False",NA,4
84041,1817,NA,"False",NA,18,8,2020,NA,"False",NA,4
2536,304,NA,"False",NA,3,8,2014,NA,"True",NA,4
2536,916,NA,"False",NA,9,6,2017,NA,"False",NA,4
2536,1801,NA,"False",NA,18,11,2014,NA,"False",NA,4
37453,304,NA,"False",NA,3,8,2020,NA,"True",NA,4
37453,423,NA,"False",NA,4,8,2020,NA,"True",NA,4
60693,719,NA,"False",NA,7,9,2019,NA,"True",NA,4
60693,915,"vet assumes after-affect from spay operation","False",NA,9,2,2017,NA,"False",NA,4
60693,1110,NA,"False",NA,11,1,2019,NA,"False",NA,4
60693,1605,NA,"False",NA,16,1,2016,NA,"False",NA,4
60693,1898,NA,"False","cut front paw on broken glass including flexor tendon",18,3,2017,NA,"False",NA,1
47722,304,NA,"False",NA,3,8,2017,NA,"True",NA,4
47722,305,NA,"False",NA,3,8,2017,NA,"True",NA,1
89429,112,NA,"False",NA,1,8,2019,NA,"True",NA,1
89429,916,NA,"False",NA,9,3,2020,NA,"False",NA,4
60308,202,NA,"False",NA,2,9,2020,NA,"False",NA,4
60308,410,NA,"False",NA,4,8,2016,NA,"False",NA,4
60308,424,NA,"False",NA,4,8,2016,NA,"False",NA,4
60308,1008,NA,"False",NA,10,8,2016,NA,"False",NA,4
62652,108,NA,"False",NA,1,5,2018,NA,"False",NA,4
62652,304,NA,"False",NA,3,10,2019,NA,"False",NA,4
62652,411,NA,"False",NA,4,3,2016,NA,"False",NA,4
62652,424,NA,"False",NA,4,4,2016,NA,"False",NA,4
62652,432,NA,"False",NA,4,3,2016,NA,"False",NA,4
62652,705,NA,"False",NA,7,1,2020,NA,"False",NA,4
62652,1616,NA,"False",NA,16,3,2016,NA,"False",NA,4
62652,1622,NA,"False",NA,16,3,2016,NA,"False",NA,4
62652,1637,NA,"False",NA,16,3,2016,NA,"False",NA,4
62652,1698,NA,"False","Spirochetes",16,3,2016,NA,"False",NA,4
92031,807,NA,"False",NA,8,3,2018,NA,"False",NA,3
31334,708,NA,"False",NA,7,7,2016,NA,"False",NA,4
31334,1617,NA,"False",NA,16,3,2016,NA,"False",NA,4
25385,202,NA,"False",NA,2,4,2010,NA,"True",NA,4
25385,1198,NA,"False","torn miniscus",11,4,2020,NA,"True",NA,3
71345,306,NA,"False",NA,3,1,2018,NA,"False",NA,4
71345,411,NA,"False",NA,4,9,2020,NA,"False",NA,4
71345,432,NA,"False",NA,4,5,2019,NA,"False",NA,4
71345,1701,NA,"False",NA,17,2,2020,NA,"False",NA,4
78325,305,NA,"False",NA,3,9,2015,NA,"False",NA,1
78325,512,NA,"False",NA,5,1,2020,NA,"True",NA,4
78325,1802,NA,"False",NA,18,8,2009,NA,"False",NA,1
87706,915,NA,"False",NA,9,11,2012,NA,"True",NA,4
87706,1812,NA,"False",NA,18,7,2019,NA,"True",NA,4
76731,1119,NA,"False",NA,11,9,2020,NA,"False",NA,4
39653,426,NA,"False",NA,4,4,2020,NA,"False",NA,4
39653,916,NA,"False",NA,9,8,2020,NA,"True",NA,4
39653,1619,NA,"False",NA,16,2,2018,NA,"True",NA,2
39653,1622,NA,"False",NA,16,2,2018,NA,"False",NA,4
39653,1634,NA,"False",NA,16,2,2018,NA,"False",NA,4
39653,1637,NA,"False",NA,16,2,2018,NA,"False",NA,4
63224,404,NA,"False",NA,4,5,2019,NA,"False",NA,4
63224,1605,NA,"False",NA,16,2,2018,NA,"False",NA,4
63224,1616,NA,"False",NA,16,2,2018,NA,"False",NA,4
63224,1617,NA,"False",NA,16,2,2018,NA,"False",NA,4
63224,1619,NA,"False",NA,16,2,2018,NA,"True",NA,4
63224,1637,NA,"False",NA,16,2,2018,NA,"False",NA,4
63224,1812,NA,"False",NA,18,8,2019,NA,"False",NA,4
64956,415,NA,"False",NA,4,7,2018,NA,"False",NA,4
64956,432,NA,"False",NA,4,3,2019,NA,"False",NA,4
64956,1801,NA,"False",NA,18,10,2019,NA,"False",NA,4
2114,298,NA,"False","cancer in ear canal, surgery resulted in deafness one side",2,11,2017,NA,"True",NA,3
2114,404,NA,"False",NA,4,1,2018,NA,"True",NA,4
2114,405,NA,"False",NA,4,1,2014,NA,"True",NA,4
2114,407,NA,"False",NA,4,9,2009,NA,"True",NA,4
2114,409,NA,"False",NA,4,1,2018,NA,"True",NA,1
2114,411,NA,"False",NA,4,12,2009,NA,"True",NA,4
2114,424,NA,"False",NA,4,5,2009,NA,"True",NA,4
2114,708,NA,"False",NA,7,10,2016,NA,"True",NA,1
2114,711,NA,"False",NA,7,9,2019,NA,"True",NA,4
2114,1112,NA,"False",NA,11,12,2017,NA,"True",NA,4
2114,1215,NA,"False",NA,12,9,2012,NA,"True",NA,4
2114,1617,NA,"False",NA,16,5,2009,NA,"False",NA,4
2114,1628,NA,"False",NA,16,9,2009,NA,"False",NA,4
2114,1634,NA,"False",NA,16,5,2009,NA,"False",NA,4
2114,1902,NA,"False",NA,19,1,2018,NA,"True",NA,1
79521,1813,NA,"False",NA,18,7,2020,NA,"False",NA,4
15837,305,NA,"False",NA,3,9,2018,NA,"True",NA,1
31348,304,NA,"False",NA,3,9,2020,NA,"True",NA,1
80554,404,NA,"False",NA,4,5,2018,NA,"False",NA,4
80554,424,NA,"False",NA,4,5,2018,NA,"False",NA,4
80554,430,NA,"False",NA,4,5,2018,NA,"False",NA,4
80554,1117,NA,"False",NA,11,2,2019,NA,"False",NA,3
38840,712,NA,"False",NA,7,1,2020,NA,"False",NA,4
24211,305,NA,"False",NA,3,5,2019,NA,"False",NA,1
24211,306,NA,"False",NA,3,5,2019,NA,"False",NA,1
24211,432,NA,"False",NA,4,11,2017,NA,"False",NA,4
24211,1627,NA,"False",NA,16,5,2019,NA,"True",NA,4
69841,203,NA,"False",NA,2,9,2019,NA,"False",NA,4
69841,411,NA,"False",NA,4,9,2019,NA,"False",NA,4
69841,432,NA,"False",NA,4,9,2019,NA,"False",NA,4
69841,1616,NA,"False",NA,16,9,2019,NA,"False",NA,4
69841,1634,NA,"False",NA,16,9,2019,NA,"False",NA,4
69841,1637,NA,"False",NA,16,9,2019,NA,"False",NA,4
12325,1801,NA,"False",NA,18,11,2014,NA,"False",NA,4
5796,118,NA,"False",NA,1,10,2019,NA,"False",NA,4
5796,424,NA,"False",NA,4,8,2020,NA,"False",NA,4
5796,432,NA,"False",NA,4,7,2017,NA,"False",NA,4
5796,708,NA,"False",NA,7,6,2019,NA,"False",NA,4
5796,1634,NA,"False",NA,16,9,2012,NA,"False",NA,4
5796,1810,NA,"False",NA,18,10,2018,NA,"False",NA,1
5796,1814,NA,"False",NA,18,3,2014,NA,"False",NA,3
5796,1817,NA,"False",NA,18,10,2013,NA,"False",NA,4
73685,1605,NA,"False",NA,16,8,2020,NA,"False",NA,4
73685,1634,NA,"False",NA,16,6,2019,NA,"False",NA,4
71038,705,NA,"False",NA,7,6,2020,NA,"False",NA,4
11030,304,NA,"False",NA,3,6,20,NA,"True",NA,3
11030,1803,NA,"False",NA,18,6,2018,NA,"False",NA,4
11030,1817,NA,"False",NA,18,2,2020,NA,"False",NA,4
46699,1298,NA,"True","bobble head",12,7,2016,NA,"False",NA,4
46699,298,NA,"False","External malformation of rt ear",2,12,2014,NA,"False",NA,4
46699,411,NA,"False",NA,4,11,2020,NA,"False",NA,4
46699,1298,NA,"False","bobble head",12,7,2015,NA,"False",NA,4
26552,1617,NA,"False",NA,16,10,2018,NA,"False",NA,4
24186,423,NA,"False",NA,4,6,2017,NA,"False",NA,4
24186,1817,NA,"False",NA,18,7,2019,NA,"False",NA,1
46670,1817,NA,"False",NA,18,6,2014,NA,"False",NA,1
29258,101,NA,"False",NA,1,9,2017,2,"True",NA,4
29258,118,NA,"False",NA,1,9,2017,NA,"True",NA,4
29258,1812,NA,"False",NA,18,6,2017,NA,"False",NA,4
530,408,NA,"False",NA,4,6,2018,NA,"False",NA,4
530,1801,NA,"False",NA,18,11,2019,NA,"False",NA,1
530,NA,NA,"False",NA,16,NA,NA,NA,NA,NA,NA
62548,102,NA,"False",NA,1,6,2020,NA,"False",NA,4
62548,705,NA,"False",NA,7,6,2020,NA,"False",NA,3
62548,1112,NA,"False",NA,11,4,2019,NA,"False",NA,4
62548,1630,NA,"False",NA,16,5,2007,NA,"False",NA,2
7009,426,NA,"False",NA,4,8,2015,NA,"False",NA,4
7009,498,NA,"False","Ringworm",4,11,2014,NA,"False",NA,4
7009,1014,NA,"False",NA,10,2,2012,NA,"False",NA,4
7009,1609,NA,"False",NA,16,2,2020,NA,"False",NA,4
7009,1622,NA,"False",NA,16,2,2012,NA,"False",NA,4
7009,1637,NA,"False",NA,16,5,2012,NA,"False",NA,4
7009,1640,NA,"False",NA,16,2,2012,NA,"False",NA,4
69243,102,NA,"False",NA,1,1,2015,NA,"True",NA,4
69243,109,NA,"False",NA,1,1,2008,NA,"False",NA,4
69243,504,NA,"False",NA,5,10,2019,NA,"False",NA,4
69243,1312,NA,"False",NA,13,5,2012,NA,"True",NA,4
69243,1612,NA,"False",NA,16,8,2011,NA,"False",NA,4
88283,198,NA,"False","Infection/swelling",1,8,2018,NA,"False",NA,4
88283,1898,NA,"False","porcupine quilling",18,11,2016,NA,"False",NA,4
51442,109,NA,"False",NA,1,4,2016,NA,"False",NA,3
51442,305,NA,"False",NA,3,6,2017,NA,"True",NA,1
52854,305,NA,"False",NA,3,8,2019,NA,"False",NA,1
52854,306,NA,"False",NA,3,8,2019,NA,"False",NA,1
52854,307,NA,"False",NA,3,8,2019,NA,"False",NA,4
52854,412,NA,"False",NA,4,3,2014,NA,"False",NA,4
52854,426,NA,"False",NA,4,6,2014,NA,"False",NA,4
52854,1113,NA,"False",NA,11,7,2020,NA,"False",NA,4
52854,1605,NA,"False",NA,16,10,2018,NA,"False",NA,4
52854,1617,NA,"False",NA,16,7,2020,NA,"False",NA,4
5548,101,NA,"False",NA,1,8,2020,99,"False",NA,4
43431,404,NA,"False",NA,4,3,2015,NA,"False",NA,4
43431,1703,NA,"False",NA,17,2,2020,NA,"False",NA,4
87607,304,NA,"False",NA,3,9,2020,NA,"False",NA,4
87607,1617,NA,"False",NA,16,5,2012,NA,"False",NA,4
87607,1801,NA,"False",NA,18,8,2018,NA,"False",NA,4
87607,1802,NA,"False",NA,18,10,2020,NA,"False",NA,1
87607,1817,NA,"False",NA,18,6,2019,NA,"False",NA,4
71860,304,NA,"False",NA,3,2,2018,NA,"True",NA,4
71860,911,NA,"False",NA,9,7,2019,NA,"True",NA,4
71860,1605,NA,"False",NA,16,11,2019,NA,"False",NA,4
71860,1614,NA,"False",NA,16,8,2018,NA,"True",NA,4
71860,1704,NA,"False","Vitamin D",17,11,2017,NA,"False",NA,2
71860,1801,NA,"False",NA,18,11,2019,NA,"False",NA,1
73557,1614,NA,"False",NA,16,12,2019,NA,"True",NA,4
73557,1622,NA,"False",NA,16,10,2019,NA,"True",NA,4
5838,205,NA,"False",NA,2,8,2019,NA,"False",NA,4
5838,305,NA,"False",NA,3,7,2013,NA,"False",NA,1
5838,1105,NA,"False",NA,11,9,2018,NA,"False",NA,1
5838,1113,NA,"False",NA,11,2,2020,NA,"True",NA,4
75970,114,NA,"False",NA,1,11,2017,NA,"True",NA,4
75970,504,NA,"False",NA,5,5,2020,NA,"True",NA,4
53933,1198,NA,"True","3 fused spine bones",11,3,2016,NA,"False",NA,4
64276,504,NA,"True",NA,5,6,2010,NA,"False",NA,4
64276,704,NA,"True",NA,7,6,2009,NA,"False",NA,4
64276,306,NA,"False",NA,3,9,2009,NA,"False",NA,4
64276,411,NA,"False",NA,4,6,2020,NA,"False",NA,4
64276,425,NA,"False",NA,4,6,2009,NA,"False",NA,4
64276,426,NA,"False",NA,4,6,2009,NA,"False",NA,4
64276,432,NA,"False",NA,4,10,2020,NA,"False",NA,4
64276,598,NA,"False","enlarged heart",5,9,2019,NA,"False",NA,4
64276,708,NA,"False",NA,7,1,2016,NA,"False",NA,4
64276,809,NA,"False",NA,8,2,2017,NA,"False",NA,4
64276,916,NA,"False",NA,9,7,2020,NA,"True",NA,4
64276,1014,NA,"False",NA,10,9,2017,NA,"False",NA,3
64276,1105,NA,"False",NA,11,4,2017,NA,"False",NA,3
64276,1112,NA,"False",NA,11,7,2016,NA,"False",NA,1
64276,1312,NA,"False",NA,13,6,2009,NA,"True",NA,4
64276,1601,NA,"False",NA,16,4,2020,NA,"False",NA,4
64276,1614,NA,"False",NA,16,4,2020,NA,"False",NA,4
64276,1616,NA,"False",NA,16,6,2019,NA,"False",NA,4
64276,1622,NA,"False",NA,16,6,2017,NA,"False",NA,4
64276,1627,NA,"False",NA,16,4,2020,NA,"False",NA,4
64276,1634,NA,"False",NA,16,6,2018,NA,"False",NA,4
64276,1637,NA,"False",NA,16,5,2018,NA,"False",NA,4
64276,1898,NA,"False","lost canine tooth",18,9,2009,NA,"False",NA,4
87004,102,NA,"False",NA,1,7,2018,NA,"True",NA,4
87004,304,NA,"False",NA,3,8,2017,NA,"True",NA,4
87004,306,NA,"False",NA,3,7,2018,NA,"True",NA,4
87004,1117,NA,"False",NA,11,7,2013,NA,"True",NA,4
4999,102,NA,"False",NA,1,9,2019,NA,"False",NA,4
4999,304,NA,"False",NA,3,10,2018,NA,"False",NA,4
4999,410,NA,"False",NA,4,6,2012,NA,"False",NA,4
4999,1113,NA,"False",NA,11,5,2018,NA,"False",NA,4
49429,101,"Complications due to Diabities","False",NA,1,4,2019,98,"True",NA,4
49429,102,NA,"False",NA,1,12,2017,NA,"True",NA,1
49429,304,NA,"False",NA,3,8,2014,NA,"False",NA,4
49429,306,NA,"False",NA,3,8,2015,NA,"False",NA,1
79744,304,NA,"False",NA,3,9,2020,NA,"True",NA,4
79744,705,NA,"False",NA,7,8,2020,NA,"True",NA,4
79744,1634,NA,"False",NA,16,6,2016,NA,"False",NA,4
26451,798,NA,"False","Burst anal gland",7,12,2018,NA,"True",NA,2
26451,1117,NA,"False",NA,11,6,2017,NA,"False",NA,4
3952,1598,NA,"True","Hip Dysplasia",15,4,2014,NA,"False",NA,1
3952,104,NA,"False",NA,1,10,2015,NA,"False",NA,4
3952,108,NA,"False",NA,1,5,2015,NA,"False",NA,4
3952,916,NA,"False",NA,9,9,2018,NA,"False",NA,4
3952,1110,NA,"False",NA,11,4,2014,NA,"False",NA,1
27632,202,NA,"False",NA,2,4,2020,NA,"False",NA,4
27632,306,NA,"False",NA,3,4,2020,NA,"True",NA,4
37370,NA,NA,"False",NA,16,NA,NA,NA,NA,NA,NA
19173,707,NA,"False",NA,7,5,2019,NA,"True",NA,2
19173,1609,NA,"False",NA,16,10,2019,NA,"False",NA,4
63414,304,NA,"False",NA,3,3,2018,NA,"False",NA,1
63414,305,NA,"False",NA,3,3,2018,NA,"False",NA,1
63414,1803,NA,"False",NA,18,6,2017,NA,"False",NA,4
21256,109,NA,"False",NA,1,1,2020,NA,"False",NA,1
21256,305,NA,"False",NA,3,6,2020,NA,"False",NA,1
21256,410,NA,"False",NA,4,7,2019,NA,"False",NA,4
21256,411,NA,"False",NA,4,7,2019,NA,"False",NA,4
21256,605,NA,"False",NA,6,1,2015,NA,"False",NA,4
21256,1898,NA,"False","corneal abrasion",18,1,2020,NA,"False",NA,1
32832,410,NA,"False",NA,4,10,2012,NA,"True",NA,4
32832,1811,NA,"False",NA,18,9,2011,NA,"False",NA,4
16971,1801,NA,"False",NA,18,11,2020,NA,"False",NA,4
44173,398,NA,"False","periodontal disease stage 1",3,8,2017,NA,"True",NA,4
44173,1112,NA,"False",NA,11,4,2019,NA,"True",NA,4
44173,1898,NA,"False","sprained ACl, chronic L foreleg lameness",18,10,2018,NA,"True",NA,4
82697,407,NA,"False",NA,4,9,2018,NA,"False",NA,4
82697,414,NA,"False",NA,4,4,2020,NA,"True",NA,4
82697,428,NA,"False",NA,4,6,2020,NA,"False",NA,4
82697,798,NA,"False","Gastropathy",7,10,2018,NA,"False",NA,4
67310,705,NA,"False",NA,7,10,2019,NA,"False",NA,3
83385,1898,NA,"False","When puppy was kept outside and had a throat issue because he would bark all day long. He also has trauma from being kept in a cage. We had multiple cages that he would find a way to get out of. He would rip the crate and crawl out of the smallest holes which he would bleed from. We no longer keep him in cages. He has freedom to come in and outside now :)",18,6,2011,NA,"False",NA,4
5652,426,NA,"False",NA,4,6,2015,NA,"False",NA,4
5652,1616,NA,"False",NA,16,2,2020,NA,"False",NA,4
5652,1898,NA,"False","Foxtail",18,3,2015,NA,"False",NA,1
20777,202,NA,"False",NA,2,9,2019,NA,"True",NA,4
20777,298,NA,"False","chronic infections due to food allergies",2,9,2019,NA,"True",NA,4
20777,412,NA,"False",NA,4,9,2019,NA,"True",NA,4
20777,1198,NA,"False","injured back and shoulder",11,6,2013,NA,"True",NA,4
20777,1803,NA,"False",NA,18,6,2013,NA,"True",NA,4
24949,1804,NA,"False",NA,18,12,2019,NA,"False",NA,3
43961,102,NA,"False",NA,1,5,2016,NA,"True",NA,4
43961,104,NA,"False",NA,1,8,2015,NA,"True",NA,4
43961,304,NA,"False",NA,3,4,2020,NA,"False",NA,4
43961,1113,NA,"False",NA,11,6,2016,NA,"True",NA,4
43961,1802,NA,"False",NA,18,5,2015,NA,"False",NA,1
56838,304,NA,"False",NA,3,2,2020,NA,"False",NA,2
56838,305,NA,"False",NA,3,2,2020,NA,"False",NA,3
56838,307,NA,"False",NA,3,2,2020,NA,"False",NA,2
56838,708,NA,"False",NA,7,6,2017,NA,"False",NA,4
56838,809,NA,"False",NA,8,3,2016,NA,"False",NA,4
56838,1117,NA,"False",NA,11,6,2017,NA,"False",NA,4
65844,1701,NA,"False",NA,17,5,2019,NA,"False",NA,4
65844,1704,NA,"False","ibuprofen",17,6,2019,NA,"False",NA,2
65844,1798,NA,"False","Raw Dough",17,2,2020,NA,"False",NA,4
54586,505,NA,"True",NA,5,5,2007,NA,"False",NA,3
54586,407,NA,"False",NA,4,3,2020,NA,"True",NA,4
54586,428,NA,"False",NA,4,11,2020,NA,"True",NA,1
54586,504,NA,"False",NA,5,6,2008,NA,"False",NA,4
54586,708,NA,"False",NA,7,5,2008,NA,"False",NA,4
54586,898,NA,"False","Copper Storage Liver Disease",8,1,2017,NA,"True",NA,3
54586,1698,NA,"False","Tick borne",16,6,2011,NA,"False",NA,2
54586,1903,NA,"False",NA,19,1,2017,NA,"True",NA,4
16186,424,NA,"False",NA,4,7,2020,NA,"False",NA,4
16186,1817,NA,"False",NA,18,3,2020,NA,"False",NA,4
4013,1617,NA,"False",NA,16,5,2019,NA,"False",NA,4
64274,998,NA,"True","Inverted Vulva",9,3,2019,NA,"False",NA,1
64274,412,NA,"False",NA,4,3,2019,NA,"True",NA,4
64274,712,NA,"False",NA,7,3,2019,NA,"True",NA,4
64274,1015,NA,"False",NA,10,2,2019,NA,"False",NA,1
64274,1813,NA,"False",NA,18,2,2019,NA,"False",NA,4
60796,428,NA,"False",NA,4,1,2020,NA,"True",NA,4
60796,1215,NA,"False",NA,12,1,2019,NA,"False",NA,4
60796,1703,NA,"False",NA,17,4,2016,NA,"False",NA,4
39439,1598,NA,"True","inverted vulva",15,5,2015,NA,"False",NA,3
39439,108,NA,"False",NA,1,6,2017,NA,"False",NA,4
39439,1015,NA,"False",NA,10,5,2015,NA,"False",NA,3
39439,1605,NA,"False",NA,16,8,2018,NA,"False",NA,2
39439,1617,NA,"False",NA,16,5,2015,NA,"False",NA,4
39439,1701,NA,"False",NA,17,2,2018,NA,"False",NA,4
39439,1816,NA,"False",NA,18,10,2020,NA,"False",NA,2
78207,916,NA,"False",NA,9,4,2020,NA,"False",NA,4
12559,414,NA,"False",NA,4,9,2017,NA,"False",NA,4
12559,1812,NA,"False",NA,18,10,2018,NA,"False",NA,1
1657,198,NA,"False","pigmentary keratitis",1,6,2016,NA,"False",NA,4
1657,407,NA,"False",NA,4,6,2016,NA,"True",NA,4
73302,709,NA,"False",NA,7,9,2017,NA,"False",NA,4
73302,712,NA,"False",NA,7,7,2012,NA,"False",NA,4
58438,1112,NA,"False",NA,11,7,2019,NA,"True",NA,1
58438,1617,NA,"False",NA,16,9,2018,NA,"False",NA,4
